dis(mm)	load (KN)	stress (MPa)	Xc		2theta	Lattice strain		Width				Height
--	0.059	14.8989898989899	318.51732	0.10546	42.0230469368	0.0695993736790093	10.7450875752306	25.53991	0.22709	12724.33659	110.62808	397.52
0.3495	1.603	404.79797979798	328.64294	0.08048	41.9394093156	1904.56260907843	8.19993028688186	26.04178	0.16097	12358.81225	66.15598	378.66
0.6333	2.397	605.30303030303	332.2645	0.08864	41.90949523	2587.75042334789	9.03133474936888	26.36156	0.17728	12354.7137	71.95499	373.94
0.8333	2.512	634.343434343434	332.30674	0.09654	41.9091463276	2595.72507085445	9.83624838339431	27.81564	0.19309	13090.51275	78.69313	375.5
1.1333	2.521	636.616161616162	333.8887	0.09523	41.896079338	2894.49389213806	9.70277536306858	27.9131	0.22001	12886.91138	114.11583	368.37
1.8833	2.618	661.111111111111	334.30605	0.1037	41.892632027	2973.34858236245	10.565765044106	28.23269	0.23868	13187.85709	126.10701	372.7
3.1333	3.003	758.333333333333	336.70673	0.11715	41.8728024102	3427.21235549816	11.9361559779847	30.48194	0.25607	14610.12752	122.37585	372.43
4.6333	3.449	870.959595959596	338.36871	0.14148	41.8590744554	3741.69585832431	14.4150861951795	32.20482	0.30802	15991.27585	151.71998	396.19
--	0.049	12.3737373737374	315.62365	0.12775	42.046948651	-542.666256428998	13.0161666768036	31.72854	0.27082	17057.83973	139.26529	428.96
