dis(mm)	load (KN)	stress (MPa)	Xc		2theta	Lattice strain		Width				Height
--	0.052	13.1752305665349	404.96442	0.49755	84.3089938908	-0.0375145574718592	50.6942757733358	50.78518	1.09991	2187.98694	47.91173	34.375
0.3333	1.609	407.672038106821	435.94051	0.46085	84.0531313874	2478.04718689189	46.9549934481797	50.58348	1.00665	2222.79033	44.06788	35.061
0.5896	2.401	608.340934427891	449.1477	0.4626	83.944039998	3541.39199159174	47.1332971012866	50.5754	1.00611	2121.65079	41.81531	33.471
0.7896	2.664	674.977196716327	453.54955	0.68159	83.907680717	3896.69911047918	69.4457068120751	61.68397	1.53577	2115.32663	54.43333	27.362
1.0896	2.677	678.271004357961	456.2306	0.9673	83.885535244	4113.32879724476	98.5560706573163	75.13027	2.34982	1929.07781	67.05353	20.487
1.8396	2.754	697.780480389176	448.65349	1.34021	83.9481221726	3501.52872025438	136.55105081737	79.73686	3.2804	1420.65126	65.36128	14.216
3.0896	2.985	756.308908482821	442.91388	2.91395	83.9955313512	3038.98520911457	296.895959983342	112.7663	8.18787	987.34719	89.15561	6.986
4.5896	3.345	847.522043174217	--	--	--	--	--	--	--	--	--	
--	0.05	12.6684909293605	--	--	--	--	--	--	--	--	--	
