dis(mm)	load (KN)	stress (MPa)	Xc		2theta	Lattice strain		Width				height
	0.037	9.71128608923885	374.36319	0.34326	91.9617600506	-4.26833523866693E-4	34.9740068374138	48.4645	0.73909	2839.0357	42.32722	--
0.309	1.607	421.784776902887	407.61081	0.35828	91.6871347094	2327.71626334717	36.5043616200799	52.20394	0.77953	2806.04395	41.53272	42.888
0.613	2.392	627.821522309711	418.45423	0.3696	91.5975680602	3091.70938271753	37.6577315361771	53.89073	0.81527	2793.32932	42.61212	41.357
0.813	2.449	642.782152230971	418.10917	0.4352	91.6004182558	3067.36084560818	44.3415713326414	57.17477	0.96627	2769.42388	47.56772	38.648
1.113	2.474	649.343832020997	420.55889	0.45577	91.5801835686	3240.2732032882	46.4374034151608	59.95222	1.01675	2975.58355	51.57108	39.601
1.88	2.582	677.690288713911	425.23761	0.43628	91.5415373414	3570.85685013978	44.4516101585588	63.24681	0.97795	3112.42963	49.45115	39.265
3.113	2.926	767.979002624672	431.54773	0.50915	91.4894157502	4017.41421047289	51.8761742739301	64.79467	1.15353	3455.2247	63.95812	42.548
4.613	3.346	878.215223097113	435.60386	0.54709	91.4559121164	4304.88762477431	55.7417974732877	69.97806	1.26436	3644.30472	69.8911	41.552
--	0.037	9.71128608923885	368.00106	0.4722	92.0143112444	-442.886645709348	48.1114199983302	65.46421	1.05872	3807.23136	63.28663	46.403
