dis(mm)	load (KN)	stress (MPa)	Xc		2theta	Lattice strain		Width				Height
--	0.054	13.9071312678668	363.49125	0.25751	61.051562275	-0.0336729719846853	26.2371278351758	30.35762	0.5371	1185.06385	19.56489	31.147
0.314	1.615	415.926240696387	382.68457	0.30822	60.8930254518	2353.95418872383	31.4038582632048	29.11218	0.64209	1080.2435	22.19081	29.606
0.5826	2.392	616.034407272915	399.32361	0.36559	60.7555869814	4406.75700866982	37.2491614510579	31.36279	0.76402	1006.96959	22.96173	25.618
0.7826	2.556	658.270880012362	401.88515	0.33941	60.734428661	4723.78289017427	34.5817388005787	31.2043	0.70836	952.16751	20.18956	24.347
1.0826	2.585	665.739524582142	405.03995	0.48002	60.708370013	5114.60123158108	48.9081826082136	36.9873	1.01552	856.8268	22.43407	18.483
1.8326	2.673	688.402997759407	409.76425	0.71018	60.669347295	5700.61138158051	72.358679064833	45.20849	1.53003	766.4999	25.38175	13.528
3.0826	2.94	757.16603569497	416.59052	1.10502	60.6129623048	6548.96896058324	112.58805871782	52.44286	2.41739	547.41579	25.18679	8.3286
4.5826	3.341	860.439362332277	424.70983	1.49928	60.5458968042	7560.51578278378	152.758343445778	50.16841	3.47496	415.04469	30.60201	6.6009
--	0.047	12.1043549924026	373.53006	1.24704	60.9686417044	1229.33097375992	127.058164325959	44.96133	3.00065	463.70757	34.43193	8.229
