dis(mm)	load (KN)	stress (MPa)	ss111	Error_111	ss200	Error_220	ss311	Error_311	ss222	Error_222
--	0.059	9.88274706867672	0.0213017250627316	45.1515793567556	-0.0329958527294584	48.2285909703718	-0.0375145574718592	50.6942757733358	0.0327142571067369	68.8506820497069
0.3495	1.603	268.509212730318	1594.44165968778	35.2857835108465	2492.32655873324	38.8324978906471	2478.04718689189	46.9549934481797	1742.37376099142	72.2843009695369
0.6333	2.397	401.507537688442	2173.36109068601	45.7598495333546	3852.21495040127	52.1105162180135	3541.39199159174	47.1332971012866	2575.77911938659	80.346682724022
0.8333	2.512	420.770519262982	1739.87204445609	61.7817063625317	5159.05480497824	58.309370078027	3896.69911047918	69.4457068120751	2701.19581352339	111.91254259205
1.1333	2.521	422.278056951424	605.825657551448	126.556876341224	6007.55037584357	81.6610353669243	4113.32879724476	98.5560706573163	2699.8915589984	141.097284532587
1.8833	2.618	438.525963149079	--	--	6433.71930574428	80.5728736439633	3501.52872025438	136.55105081737	2739.3131797889	249.123826364924
3.1333	3.003	503.015075376884	--	--	7427.39925992164	210.208799354839	3038.98520911457	296.895959983342	--	--
4.6333	3.449	577.721943048576	--	--	8970.42472340106	231.964901667934	--	--	--	--
--	0.049	8.20770519262982	--	--	--	--	--	--	--	--
