dis(mm)	load (KN)	stress (MPa)	FE220	220_Error	FE211	211_Error	FE200	200_Error	FE110	110_Error
		0.059	9.88274706867672	-4.26833523866693E-4	34.9740068374138	0.0423212270269377	35.5415218933027	-0.0336729719846853	26.2371278351758	0.0695993736790093	10.7450875752306
0.3495	1.603	268.509212730318	2327.71626334717	36.5043616200799	2127.59261749383	33.4181801043039	2353.95418872383	31.4038582632048	1904.56260907843	8.19993028688186
0.6333	2.397	401.507537688442	3091.70938271753	37.6577315361771	3172.90604252626	39.8381304941701	4406.75700866982	37.2491614510579	2587.75042334789	9.03133474936888
0.8333	2.512	420.770519262982	3067.36084560818	44.3415713326414	3319.50356054825	38.3444553201431	4723.78289017427	34.5817388005787	2595.72507085445	9.83624838339431
1.1333	2.521	422.278056951424	3240.2732032882	46.4374034151608	3498.93346673065	46.7766897950728	5114.60123158108	48.9081826082136	2894.49389213806	9.70277536306858
1.8833	2.618	438.525963149079	3570.85685013978	44.4516101585588	3888.51468960806	51.8761742739301	5700.61138158051	72.358679064833	2973.34858236245	10.565765044106
3.1333	3.003	503.015075376884	4017.41421047289	51.8761742739301	4256.50024109208	65.4883845911197	6548.96896058324	112.58805871782	3427.21235549816	11.9361559779847
4.6333	3.449	577.721943048576	4304.88762477431	55.7417974732877	4972.92076252016	97.8866677996522	7560.51578278378	152.758343445778	3741.69585832431	14.4150861951795
