	2theta	BCC_112	2theta	BCC_200	2theta	BCC_220	2theta	BCC_110/FCC_111	2theta	FCC_200	2theta	FCC_222	2theta	FCC_311
42.00000	79.90708	00.00000	63.70708	00.00000	94.70708	00.00000	44.30708	00.00000	50.50708	00.00000	91.70708	00.00000	87.30708	00.00000
43.00000	79.89882	00.00000	63.69882	00.00000	94.69882	00.00000	44.29882	00.00000	50.49882	00.00000	91.69882	00.00000	87.29882	00.00000
44.00000	79.89056	00.00000	63.69056	00.00000	94.69056	00.00000	44.29056	00.00000	50.49056	00.00000	91.69056	00.00000	87.29056	00.00000
45.00000	79.88230	00.00000	63.68230	00.00000	94.68230	00.00000	44.28230	00.00000	50.48230	00.00000	91.68230	00.00000	87.28230	00.00000
46.00000	79.87404	00.00000	63.67404	00.00000	94.67404	00.00000	44.27404	00.00000	50.47404	00.00000	91.67404	00.00000	87.27404	00.00000
47.00000	79.86578	00.00000	63.66578	00.00000	94.66578	00.00000	44.26578	00.00000	50.46578	00.00000	91.66578	00.00000	87.26578	00.00000
48.00000	79.85752	00.00000	63.65752	00.00000	94.65752	00.00000	44.25752	00.00000	50.45752	00.00000	91.65752	00.00000	87.25752	00.00000
49.00000	79.84926	00.00000	63.64926	00.00000	94.64926	00.00000	44.24926	00.00000	50.44926	00.00000	91.64926	00.00000	87.24926	00.00000
50.00000	79.84100	00.00000	63.64100	00.00000	94.64100	00.00000	44.24100	00.00000	50.44100	00.00000	91.64100	00.00000	87.24100	00.00000
51.00000	79.83274	00.00000	63.63274	00.00000	94.63274	00.00000	44.23274	00.00000	50.43274	00.00000	91.63274	00.00000	87.23274	00.00000
52.00000	79.82448	00.00000	63.62448	00.00000	94.62448	00.00000	44.22448	00.00000	50.42448	00.00000	91.62448	00.00000	87.22448	00.00000
53.00000	79.81622	00.00000	63.61622	00.00000	94.61622	00.00000	44.21622	00.00000	50.41622	00.00000	91.61622	00.00000	87.21622	00.00000
54.00000	79.80796	00.00000	63.60796	00.00000	94.60796	00.00000	44.20796	00.00000	50.40796	00.00000	91.60796	00.00000	87.20796	00.00000
55.00000	79.79970	00.00000	63.59970	00.00000	94.59970	00.00000	44.19970	00.00000	50.39970	00.00000	91.59970	00.00000	87.19970	00.00000
56.00000	79.79144	00.00000	63.59144	00.00000	94.59144	00.00000	44.19144	00.00000	50.39144	00.00000	91.59144	00.00000	87.19144	00.00000
57.00000	79.78318	00.00000	63.58318	00.00000	94.58318	00.00000	44.18318	00.00000	50.38318	00.00000	91.58318	00.00000	87.18318	00.00000
58.00000	79.77492	00.00000	63.57492	00.00000	94.57492	00.00000	44.17492	00.00000	50.37492	00.00000	91.57492	00.00000	87.17492	00.00000
59.00000	79.76666	00.00000	63.56666	00.00000	94.56666	00.00000	44.16666	00.00000	50.36666	00.00000	91.56666	00.00000	87.16666	00.00000
60.00000	79.75840	00.00000	63.55840	00.00000	94.55840	00.00000	44.15840	00.00000	50.35840	00.00000	91.55840	00.00000	87.15840	00.00000
61.00000	79.75014	00.00000	63.55014	00.00000	94.55014	00.00000	44.15014	00.00000	50.35014	00.00000	91.55014	00.00000	87.15014	00.00000
62.00000	79.74188	00.00000	63.54188	00.00000	94.54188	00.00000	44.14188	00.00000	50.34188	00.00000	91.54188	00.00000	87.14188	00.00000
63.00000	79.73362	00.00000	63.53362	00.00000	94.53362	00.00000	44.13362	00.00000	50.33362	00.00000	91.53362	00.00000	87.13362	00.00000
64.00000	79.72536	00.00000	63.52536	00.00000	94.52536	00.00000	44.12536	00.00000	50.32536	00.00000	91.52536	00.00000	87.12536	00.00000
65.00000	79.71710	00.00000	63.51710	00.00000	94.51710	00.00000	44.11710	00.00000	50.31710	00.00000	91.51710	00.00000	87.11710	00.00000
66.00000	79.70884	00.00000	63.50884	00.00000	94.50884	00.00000	44.10884	00.00000	50.30884	00.00000	91.50884	00.00000	87.10884	00.00000
67.00000	79.70058	00.00000	63.50058	00.00000	94.50058	00.00000	44.10058	00.00000	50.30058	00.00000	91.50058	00.00000	87.10058	00.00000
68.00000	79.69232	00.00000	63.49232	00.00000	94.49232	00.00000	44.09232	00.00000	50.29232	00.00000	91.49232	00.00000	87.09232	00.00000
69.00000	79.68406	00.00000	63.48406	00.00000	94.48406	00.00000	44.08406	00.00000	50.28406	00.00000	91.48406	00.00000	87.08406	00.00000
70.00000	79.67580	00.00000	63.47580	00.00000	94.47580	00.00000	44.07580	00.00000	50.27580	00.00000	91.47580	00.00000	87.07580	00.00000
71.00000	79.66754	00.00000	63.46754	00.00000	94.46754	00.00000	44.06754	00.00000	50.26754	00.00000	91.46754	00.00000	87.06754	00.00000
72.00000	79.65928	00.00000	63.45928	00.00000	94.45928	00.00000	44.05928	00.00000	50.25928	00.00000	91.45928	00.00000	87.05928	00.00000
73.00000	79.65102	00.00000	63.45102	00.00000	94.45102	00.00000	44.05102	00.00000	50.25102	00.00000	91.45102	00.00000	87.05102	00.00000
74.00000	79.64276	00.00000	63.44276	00.00000	94.44276	00.00000	44.04276	00.00000	50.24276	00.00000	91.44276	00.00000	87.04276	00.00000
75.00000	79.63450	00.00000	63.43450	00.00000	94.43450	00.00000	44.03450	00.00000	50.23450	00.00000	91.43450	00.00000	87.03450	00.00000
76.00000	79.62624	00.00000	63.42624	00.00000	94.42624	00.00000	44.02624	00.00000	50.22624	00.00000	91.42624	00.00000	87.02624	00.00000
77.00000	79.61798	00.00000	63.41798	00.00000	94.41798	00.00000	44.01798	00.00000	50.21798	00.00000	91.41798	00.00000	87.01798	00.00000
78.00000	79.60972	00.00000	63.40972	00.00000	94.40972	00.00000	44.00972	00.00000	50.20972	00.00000	91.40972	00.00000	87.00972	00.00000
79.00000	79.60146	00.00000	63.40146	00.00000	94.40146	00.00000	44.00146	00.00000	50.20146	00.00000	91.40146	00.00000	87.00146	00.00000
80.00000	79.59320	00.00000	63.39320	00.00000	94.39320	00.00000	43.99320	00.00000	50.19320	00.00000	91.39320	00.00000	86.99320	00.00000
81.00000	79.58494	00.00000	63.38494	00.00000	94.38494	00.00000	43.98494	00.00000	50.18494	00.00000	91.38494	00.00000	86.98494	00.00000
82.00000	79.57668	00.00000	63.37668	00.00000	94.37668	00.00000	43.97668	00.00000	50.17668	00.00000	91.37668	00.00000	86.97668	00.00000
83.00000	79.56842	00.00000	63.36842	00.00000	94.36842	00.00000	43.96842	00.00000	50.16842	00.00000	91.36842	00.00000	86.96842	00.00000
84.00000	79.56016	00.00000	63.36016	00.00000	94.36016	00.00000	43.96016	00.00000	50.16016	00.00000	91.36016	00.00000	86.96016	00.00000
85.00000	79.55190	00.00000	63.35190	00.00000	94.35190	00.00000	43.95190	00.00000	50.15190	00.00000	91.35190	00.00000	86.95190	00.00000
86.00000	79.54364	00.00000	63.34364	00.00000	94.34364	00.00000	43.94364	00.00000	50.14364	00.00000	91.34364	00.00000	86.94364	00.00000
87.00000	79.53538	00.00000	63.33538	00.00000	94.33538	00.00000	43.93538	00.00000	50.13538	00.00000	91.33538	00.00000	86.93538	00.00000
88.00000	79.52712	00.00000	63.32712	00.00000	94.32712	00.00000	43.92712	00.00000	50.12712	00.00000	91.32712	00.00000	86.92712	00.00000
89.00000	79.51886	00.00000	63.31886	00.00000	94.31886	00.00000	43.91886	00.00000	50.11886	00.00000	91.31886	00.00000	86.91886	00.00000
90.00000	79.51060	00.00000	63.31060	00.00000	94.31060	00.00000	43.91060	00.00000	50.11060	00.00000	91.31060	00.00000	86.91060	00.00000
91.00000	79.50234	00.00000	63.30234	00.00000	94.30234	00.00000	43.90234	00.00000	50.10234	00.00000	91.30234	00.00000	86.90234	00.00000
92.00000	79.49408	00.00000	63.29408	00.00000	94.29408	00.00000	43.89408	00.00000	50.09408	00.00000	91.29408	00.00000	86.89408	00.00000
93.00000	79.48582	00.00000	63.28582	00.00000	94.28582	00.00000	43.88582	00.00000	50.08582	00.00000	91.28582	00.00000	86.88582	00.00000
94.00000	79.47756	00.00000	63.27756	00.00000	94.27756	00.00000	43.87756	00.00000	50.07756	00.00000	91.27756	00.00000	86.87756	00.00000
95.00000	79.46930	00.00000	63.26930	00.00000	94.26930	00.00000	43.86930	00.00000	50.06930	00.00000	91.26930	00.00000	86.86930	00.00000
96.00000	79.46104	00.00000	63.26104	00.00000	94.26104	00.00000	43.86104	00.00000	50.06104	00.00000	91.26104	00.00000	86.86104	00.00000
97.00000	79.45278	00.00000	63.25278	00.00000	94.25278	00.00000	43.85278	00.00000	50.05278	00.00000	91.25278	00.00000	86.85278	00.00000
98.00000	79.44452	00.00000	63.24452	00.00000	94.24452	00.00000	43.84452	00.00000	50.04452	00.00000	91.24452	00.00000	86.84452	00.00000
99.00000	79.43626	00.00000	63.23626	00.00000	94.23626	00.00000	43.83626	00.00000	50.03626	00.00000	91.23626	00.00000	86.83626	00.00000
100.00000	79.42800	00.00000	63.22800	00.00000	94.22800	00.00000	43.82800	00.00000	50.02800	00.00000	91.22800	00.00000	86.82800	00.00000
101.00000	79.41974	00.00000	63.21974	00.00000	94.21974	00.00000	43.81974	00.00000	50.01974	00.00000	91.21974	00.00000	86.81974	00.00000
102.00000	79.41148	00.00000	63.21148	00.00000	94.21148	00.00000	43.81148	00.00000	50.01148	00.00000	91.21148	00.00000	86.81148	00.00000
103.00000	79.40322	00.00000	63.20322	00.00000	94.20322	00.00000	43.80322	00.00000	50.00322	00.00000	91.20322	00.00000	86.80322	00.00000
