dis(mm),load (KN),stress (MPa),Xc,Xc_err,2theta,Lattice strain,LatStr_err,Width,Width_err,Integrated,Inte_err,Height
--,5.2000E-02,1.3175E+01,4.0496E+02,4.9755E-01,8.4309E+01,-3.7515E-02,5.0694E+01,5.0785E+01,1.0999E+00,2.1880E+03,4.7912E+01,3.4375E+01
3.3330E-01,1.6090E+00,4.0767E+02,4.3594E+02,4.6085E-01,8.4053E+01,2.4780E+03,4.6955E+01,5.0583E+01,1.0067E+00,2.2228E+03,4.4068E+01,3.5061E+01
5.8960E-01,2.4010E+00,6.0834E+02,4.4915E+02,4.6260E-01,8.3944E+01,3.5414E+03,4.7133E+01,5.0575E+01,1.0061E+00,2.1217E+03,4.1815E+01,3.3471E+01
7.8960E-01,2.6640E+00,6.7498E+02,4.5355E+02,6.8159E-01,8.3908E+01,3.8967E+03,6.9446E+01,6.1684E+01,1.5358E+00,2.1153E+03,5.4433E+01,2.7362E+01
1.0896E+00,2.6770E+00,6.7827E+02,4.5623E+02,9.6730E-01,8.3886E+01,4.1133E+03,9.8556E+01,7.5130E+01,2.3498E+00,1.9291E+03,6.7054E+01,2.0487E+01
1.8396E+00,2.7540E+00,6.9778E+02,4.4865E+02,1.3402E+00,8.3948E+01,3.5015E+03,1.3655E+02,7.9737E+01,3.2804E+00,1.4207E+03,6.5361E+01,1.4216E+01
3.0896E+00,2.9850E+00,7.5631E+02,4.4291E+02,2.9140E+00,8.3996E+01,3.0390E+03,2.9690E+02,1.1277E+02,8.1879E+00,9.8735E+02,8.9156E+01,6.9860E+00
4.5896E+00,3.3450E+00,8.4752E+02,--,--,--,--,--,--,--,--,--,--
--,5.0000E-02,1.2668E+01,--,--,--,--,--,--,--,--,--,--
