dis(mm),load (KN),stress (MPa),Xc,Xc_err,2theta,Lattice strain,LatStr_err,Width,Width_err,Integrated,Inte_err,Height
nan,5.9000E-02,1.4899E+01,4.4841E+02,4.4315E-01,4.0950E+01,2.1302E-02,4.5152E+01,2.7455E+01,1.0862E+00,1.0639E+03,4.7259E+01,3.0919E+01
3.4950E-01,1.6030E+00,4.0480E+02,4.5665E+02,3.4632E-01,4.0882E+01,1.5944E+03,3.5286E+01,2.5656E+01,7.6396E-01,1.1865E+03,3.5795E+01,3.6898E+01
6.3330E-01,2.3970E+00,6.0530E+02,4.5964E+02,4.4912E-01,4.0857E+01,2.1734E+03,4.5760E+01,3.1765E+01,1.0010E+00,1.2101E+03,3.8957E+01,3.0394E+01
8.3330E-01,2.5120E+00,6.3434E+02,4.5740E+02,6.0637E-01,4.0876E+01,1.7399E+03,6.1782E+01,3.7202E+01,1.3809E+00,1.1138E+03,4.3479E+01,2.3887E+01
1.1333E+00,2.5210E+00,6.3662E+02,4.5154E+02,1.2421E+00,4.0924E+01,6.0583E+02,1.2656E+02,3.1387E+01,3.8103E+00,4.8303E+02,7.5608E+01,nan
1.8833E+00,2.6180E+00,6.6111E+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.1333E+00,3.0030E+00,7.5833E+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.6333E+00,3.4490E+00,8.7096E+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,4.9000E-02,1.2374E+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
