dis(mm),load (KN),stress (MPa),Xc,Xc_err,2theta,Lattice strain,LatStr_err,Width,Width_err,Integrated,Inte_err,Height
nan,5.9000E-02,1.4899E+01,3.1852E+02,1.0546E-01,4.2023E+01,6.9599E-02,1.0745E+01,2.5540E+01,2.2709E-01,1.2724E+04,1.1063E+02,3.9752E+02
3.4950E-01,1.6030E+00,4.0480E+02,3.2864E+02,8.0480E-02,4.1939E+01,1.9046E+03,8.1999E+00,2.6042E+01,1.6097E-01,1.2359E+04,6.6156E+01,3.7866E+02
6.3330E-01,2.3970E+00,6.0530E+02,3.3226E+02,8.8640E-02,4.1909E+01,2.5878E+03,9.0313E+00,2.6362E+01,1.7728E-01,1.2355E+04,7.1955E+01,3.7394E+02
8.3330E-01,2.5120E+00,6.3434E+02,3.3231E+02,9.6540E-02,4.1909E+01,2.5957E+03,9.8362E+00,2.7816E+01,1.9309E-01,1.3091E+04,7.8693E+01,3.7550E+02
1.1333E+00,2.5210E+00,6.3662E+02,3.3389E+02,9.5230E-02,4.1896E+01,2.8945E+03,9.7028E+00,2.7913E+01,2.2001E-01,1.2887E+04,1.1412E+02,3.6837E+02
1.8833E+00,2.6180E+00,6.6111E+02,3.3431E+02,1.0370E-01,4.1893E+01,2.9733E+03,1.0566E+01,2.8233E+01,2.3868E-01,1.3188E+04,1.2611E+02,3.7270E+02
3.1333E+00,3.0030E+00,7.5833E+02,3.3671E+02,1.1715E-01,4.1873E+01,3.4272E+03,1.1936E+01,3.0482E+01,2.5607E-01,1.4610E+04,1.2238E+02,3.7243E+02
4.6333E+00,3.4490E+00,8.7096E+02,3.3837E+02,1.4148E-01,4.1859E+01,3.7417E+03,1.4415E+01,3.2205E+01,3.0802E-01,1.5991E+04,1.5172E+02,3.9619E+02
nan,4.9000E-02,1.2374E+01,3.1562E+02,1.2775E-01,4.2047E+01,-5.4267E+02,1.3016E+01,3.1729E+01,2.7082E-01,1.7058E+04,1.3927E+02,4.2896E+02
