dis(mm),load (KN),stress (MPa),Xc,Xc_err,2theta,Lattice strain,LatStr_err,Width,Width_err,Integrated,Inte_err,Height
nan,5.8000E-02,1.4937E+01,3.9006E+02,4.7335E-01,4.7632E+01,-3.2996E-02,4.8229E+01,3.6472E+01,9.9893E-01,8.3626E+02,2.1762E+01,1.8294E+01
3.2210E-01,1.6110E+00,4.1490E+02,4.0527E+02,3.8113E-01,4.7506E+01,2.4923E+03,3.8832E+01,3.1889E+01,7.9746E-01,7.6814E+02,1.8014E+01,1.9219E+01
5.9360E-01,2.3980E+00,6.1758E+02,4.1354E+02,5.1145E-01,4.7438E+01,3.8522E+03,5.2111E+01,3.6665E+01,1.0764E+00,8.0090E+02,2.2251E+01,1.7429E+01
7.9360E-01,2.5290E+00,6.5132E+02,4.2145E+02,5.7229E-01,4.7373E+01,5.1591E+03,5.8309E+01,4.2855E+01,1.2358E+00,7.9156E+02,2.2404E+01,1.4737E+01
1.0936E+00,2.7170E+00,6.9973E+02,4.2658E+02,8.0148E-01,4.7330E+01,6.0076E+03,8.1661E+01,4.6044E+01,1.7315E+00,7.5174E+02,2.7763E+01,1.3027E+01
1.8436E+00,2.8270E+00,7.2806E+02,4.2915E+02,7.9080E-01,4.7309E+01,6.4337E+03,8.0573E+01,6.0412E+01,2.4841E+00,7.0381E+02,2.9605E+01,9.2956E+00
3.0936E+00,2.9930E+00,7.7082E+02,4.3514E+02,2.0631E+00,4.7260E+01,7.4274E+03,2.1021E+02,7.0849E+01,4.9360E+00,5.1290E+02,3.9175E+01,5.7762E+00
4.5936E+00,3.2130E+00,8.2747E+02,4.4440E+02,2.2767E+00,4.7183E+01,8.9704E+03,2.3196E+02,7.4022E+01,1.0014E+01,3.0321E+02,5.2056E+01,3.2683E+00
nan,4.7000E-02,1.2104E+01,4.0626E+02,2.8675E+00,4.7498E+01,2.6545E+03,2.9216E+02,7.0741E+01,1.1606E+01,2.5557E+02,5.4595E+01,2.8826E+00
