dis(mm),load (KN),stress (MPa),Xc,Xc_err,2theta,Lattice strain,LatStr_err,Width,Width_err,Integrated,Inte_err,Height
nan,3.0000E-02,7.6923E+00,3.6160E+02,6.7575E-01,8.9067E+01,3.2714E-02,6.8851E+01,4.7160E+01,1.5393E+00,1.2845E+03,4.3845E+01,nan
3.3070E-01,1.6110E+00,4.1308E+02,3.8529E+02,7.0945E-01,8.8871E+01,1.7424E+03,7.2284E+01,4.8274E+01,1.6139E+00,1.2507E+03,4.3664E+01,2.0671E+01
5.9800E-01,2.4040E+00,6.1641E+02,3.9657E+02,7.8858E-01,8.8778E+01,2.5758E+03,8.0347E+01,4.9364E+01,1.7709E+00,1.1855E+03,4.3791E+01,1.9161E+01
7.9800E-01,2.5780E+00,6.6103E+02,3.9826E+02,1.0984E+00,8.8764E+01,2.7012E+03,1.1191E+02,6.3087E+01,2.5080E+00,1.1525E+03,4.8036E+01,1.4577E+01
1.0980E+00,2.5940E+00,6.6513E+02,3.9825E+02,1.3848E+00,8.8764E+01,2.6999E+03,1.4110E+02,6.3223E+01,3.3844E+00,9.8878E+02,5.9368E+01,1.2479E+01
1.8480E+00,2.6820E+00,6.8769E+02,3.9878E+02,2.4451E+00,8.8760E+01,2.7393E+03,2.4912E+02,7.4197E+01,6.0661E+00,7.1228E+02,6.5782E+01,7.6596E+00
3.0980E+00,2.9370E+00,7.5308E+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.5980E+00,3.3220E+00,8.5179E+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,3.7000E-02,9.4872E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
